Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514171_1	SRR14514171_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29194077.0	2.9 Gbp	0.0	100.0	42.0	83.55920308400871	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	pass
SRR14514171_2	SRR14514171_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29194077.0	2.9 Gbp	0.0	100.0	42.0	66.0542700330237	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR14514172_1	SRR14514172_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20792990.0	2 Gbp	0.0	100.0	43.0	85.67721082975046	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514172_2	SRR14514172_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20792990.0	2 Gbp	0.0	100.0	43.0	70.00388001748871	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
SRR14514173_1	SRR14514173_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26803406.0	2.6 Gbp	0.0	100.0	42.0	76.94123136502128	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	pass
SRR14514173_2	SRR14514173_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26803406.0	2.6 Gbp	0.0	100.0	42.0	57.819511590549546	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR14514174_1	SRR14514174_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29670454.0	2.9 Gbp	0.0	100.0	43.0	83.67814655245768	100.0	100	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR14514174_2	SRR14514174_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29670454.0	2.9 Gbp	0.0	100.0	44.0	68.4952128497322	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail
SRR14514175_1	SRR14514175_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26633654.0	2.6 Gbp	0.0	100.0	42.0	81.78534610036266	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514175_2	SRR14514175_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26633654.0	2.6 Gbp	0.0	100.0	42.0	65.30623690389567	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514176_1	SRR14514176_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27142401.0	2.7 Gbp	0.0	100.0	44.0	79.07897985860214	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
SRR14514176_2	SRR14514176_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27142401.0	2.7 Gbp	0.0	100.0	43.0	61.27596413436896	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
