Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14514216_2	31.426852914139573	40.0	97.17796089125736	100	9.090909090909092	27885683.0
SRR14514217_1	25.7632980614804	45.0	94.55971723432583	100	18.181818181818183	30098137.0
SRR14514217_2	42.430264978955165	45.0	94.44734649191078	100	9.090909090909092	30098137.0
SRR14514218_1	17.230451545401294	42.0	97.61242554663502	100	9.090909090909092	33013115.0
SRR14514218_2	35.40412817850826	42.0	97.36492578782705	100	9.090909090909092	33013115.0
SRR14514219_1	19.052667974838073	41.0	97.62341721264846	100	9.090909090909092	22505787.0
SRR14514219_2	34.87442880745863	41.0	97.40397507538839	100	9.090909090909092	22505787.0
SRR14514220_1	19.366239269307556	42.0	97.81858573637649	100	9.090909090909092	23285093.0
SRR14514220_2	36.55855875018133	42.0	97.45096281127157	100	9.090909090909092	23285093.0
SRR14514221_1	14.976057578543731	42.0	96.85940011051154	100	9.090909090909092	23478091.0
SRR14514221_2	32.67352731273259	41.0	96.47135936222412	100	9.090909090909092	23478091.0
SRR14514222_1	33.89270034756919	46.0	97.64151633572558	100	18.181818181818183	33565390.0
SRR14514222_2	54.42496596935275	46.0	97.40200081095438	100	27.27272727272727	33565390.0
SRR14514223_1	14.170726233215817	41.0	97.81639698210809	100	9.090909090909092	27752485.0
SRR14514223_2	33.47350036759099	41.0	97.72420185075319	100	9.090909090909092	27752485.0
SRR14514224_1	33.762340973854606	42.0	94.09996056683322	100	18.181818181818183	40024683.0
SRR14514224_2	47.97716567651005	43.0	93.92626639916173	100	18.181818181818183	40024683.0
SRR14514225_1	15.962635082353117	41.0	97.36974307348206	100	9.090909090909092	26523031.0
SRR14514225_2	33.54387535912558	41.0	97.15689990333307	100	9.090909090909092	26523031.0
SRR14514226_1	23.035767510036976	43.0	95.96887738151474	100	18.181818181818183	33163662.0
SRR14514226_2	40.2909461532064	43.0	95.79370896977541	100	9.090909090909092	33163662.0
SRR14514227_1	21.959584092644263	43.0	97.89035074290283	100	18.181818181818183	26422231.0
SRR14514227_2	42.613302366284614	43.0	97.6435380494554	100	9.090909090909092	26422231.0
