Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514198_1	SRR14514198_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17006356.0	1.6 Gbp	0.0	36-100	41.0	86.57126072849779	97.27503516920379	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514198_2	SRR14514198_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17006356.0	1.6 Gbp	0.0	36-100	41.0	72.40497397596705	97.15720981026153	100	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR14514199_1	SRR14514199_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22261446.0	2.1 Gbp	0.0	36-100	42.0	85.17827337898083	97.72260355414468	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514199_2	SRR14514199_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22261446.0	2.1 Gbp	0.0	36-100	41.0	66.78646436976926	97.3485554352579	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514200_1	SRR14514200_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29929227.0	2.8 Gbp	0.0	36-100	40.0	84.94379641302942	96.16370018510669	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514200_2	SRR14514200_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29929227.0	2.8 Gbp	0.0	36-100	41.0	66.97222492605091	96.05245347632935	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514201_1	SRR14514201_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27639615.0	2.7 Gbp	0.0	36-100	41.0	85.41031108015102	97.91006213364405	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514201_2	SRR14514201_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27639615.0	2.7 Gbp	0.0	36-100	41.0	66.46550009994976	97.74177867528184	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514202_1	SRR14514202_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24018630.0	2.3 Gbp	0.0	36-100	40.0	85.57554672417618	97.09903595667197	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514202_2	SRR14514202_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24018630.0	2.3 Gbp	0.0	36-100	40.0	67.3949978832579	96.93682045978476	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514203_1	SRR14514203_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39636640.0	3.7 Gbp	0.0	36-100	42.0	85.0088090886898	95.00111366654691	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514203_2	SRR14514203_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39636640.0	3.7 Gbp	0.0	36-100	42.0	61.549823587648525	94.85348571422804	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514204_1	SRR14514204_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25688149.0	2.4 Gbp	0.0	36-100	43.0	77.57059927187375	97.00437816675698	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
SRR14514204_2	SRR14514204_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25688149.0	2.4 Gbp	0.0	36-100	43.0	60.44943878066499	96.80486912466912	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514205_1	SRR14514205_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38437330.0	3.6 Gbp	0.0	36-100	43.0	72.78948212986151	96.04886213480489	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514205_2	SRR14514205_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38437330.0	3.6 Gbp	0.0	36-100	43.0	57.34906037223343	96.00212782729706	100	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR14514206_1	SRR14514206_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20279076.0	1.9 Gbp	0.0	36-100	43.0	75.8406911895421	97.89223581981743	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
SRR14514206_2	SRR14514206_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20279076.0	1.9 Gbp	0.0	36-100	43.0	56.17004858091078	97.55832632611072	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514207_1	SRR14514207_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37378247.0	3.6 Gbp	0.0	36-100	42.0	76.51328267845997	97.4056679544121	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514207_2	SRR14514207_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37378247.0	3.6 Gbp	0.0	36-100	42.0	58.775029714841686	97.27614475874162	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514208_1	SRR14514208_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25436239.0	2.4 Gbp	0.0	36-100	42.0	80.7683648967626	98.18029237734399	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514208_2	SRR14514208_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25436239.0	2.4 Gbp	0.0	36-100	42.0	60.60860575408359	97.91351630246909	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
